Reference,Location,Ocean,Predators,Latitude,Longitude,n
Bainbridge and McKay (1968),Greenland,North Atlantic,Atlantic cod and redfish,60º00'N,40º00'W,49
Barraclough (1967),Strait of Georgia,North East Pacific,19 species of fish,49º00'N,123º00'W,629
Bethea et al (2004),"Apalachicola Bay, Florida",Gulf of Mexico,4 species of shark,29º40'N,85º10'W,173
Bethea et al (2006),"Crooked Island Sound, Florida",Gulf of Mexico,Atlantic sharpnose shark,30º00'N,85º30'W,103
Brodeur (1998),Gulf of Alaska,North Pacific,Alaska pollack,56º50'N,156º'00'W,45
Chancollon et al (2006),Off the Bay of Biscay,North East Atlantic,swordfish,44º00'N,16º00'W,827
Chase (2002),"Great Channel South, Gulf of Maine",North West Atlantic,Atlantic bluefin tuna,41º71'N,69º76'W,751
Chase (2002),"Stellwagen Bank, Gulf of Maine",North West Atlantic,Atlantic bluefin tuna,42º40'N,70º15'W,513
Chase (2002),Gulf of Maine,North West Atlantic,Atlantic bluefin tuna,42º79'N,69º51'W,86
Chase (2002),"Jeffreys Ledge, Gulf of Maine",North West Atlantic,Atlantic bluefin tuna,42º80'N,70º10'W,426
Chase (2002),South of Marthas Vineyard,North West Atlantic,Atlantic bluefin tuna,41º08'N,71º37'W,45
Chase (2002),"Cape Cod Bay, Gulf of Maine",North West Atlantic,Atlantic bluefin tuna,41º86'N,70º42'W,88
Hunsicker and Essington (2006),Mid Atlantic,Mid Atlantic,longfin squid,39º50'N,73º00'W,113
Juanes and Conover (1995),"Great South Bay, Long Island, New York",North West Atlantic,bluefish,40º10'N,73º10'W,297
Kellermann (1987),Antarctic Peninsula,Southern Ocean,Antarctic silverfish,63º00'S,58º00'W,856
Kellermann (1989),Antarctic Peninsula,Southern Ocean,icefish,62º00'S,55º00'W,105
Kellermann (1990),Antarctic Peninsula,Southern Ocean,Antarctic fish,63º00'S,58º00'W,1268
Lancaster (1991),"Oxwich Bay, Wales",Irish Sea,European sea bass,51º52'N,04º10'W,1315
Ménard et al. (2006),French Polynesian EEZ,Mid Pacific,2 species of tuna,12º00'S,144º00'W,4011
Munk (1997),NE North Sea and Skaggerak,North Sea,Atlantic cod,57º00'N,08º00'E,21
Munk (2002),W Greenland,North Atlantic,wolfish,66º20'N,56º00'W,163
Ostergaard et al. (2005),Andaman Sea (West of South Thailand),North East Indian Ocean,4 species of fish,08º24'N,97º53'E,34
Pinnegar et al. (2003),"Europe, Celtic Sea ecosystem",Celtic Sea,29 species of fish,50º50N,08º00'W,2091
Pusineri et al. (2005),Off the Bay of Biscay,North East Atlantic,albacore,45º00'N,18º00'W,3581
Quéro et al. (2004),Off the Bay of Biscay,North East Atlantic,Atlantic torpedo ray,45º00'N,18º00'W,4
Sabates and Saiz (2000),Catalan Sea,Mediterranean,Myctophidae and Paralepididae fish larvae,40º55'N,02º40'E,439
Sassa et al. (2004),Western North Pacific,Sea of Japan,Myctophidae fish larvae,37º00'N,143º00'E,447
Scharf et al. (2000),Atlantic Ocean,North West Atlantic,18 species of fish,40º00'N,71º00'W,16084
Stergiou and Fourtouni (1991),Eastern Mediterranean,Mediterranean,john dory,38º00'N,23º00'E,367
